2,Thiên Phụng,1550000,01-01-2021,PAID
8,Lam Dong Nine,750000,02-03-2021,CANCELED
1,Quang Dang,500000,08-03-2021,PAID
10,Bill Gay,1000000,10-04-2022,PAID
9,Mic Ky,1000000,01-05-2022,PAID
6,Hái Thứ Hiêu,1000000,16-06-2022,CANCELED
3,Do Nan Trum,1000000,01-09-2022,PAID
7,Super Junior,1000000,02-12-2022,CANCELED
4,Steve Jobs,1000000,12-12-2022,PAID
5,Mark Buffalo,1000000,25-12-2022,PAID
11,men,790000,10-01-2023,PAID
17,1,60000,10-12-2022,BORROWPAID
18,men2,580000,10-01-2023,BORROWING
19,men3,875000,10-01-2023,PAID
